Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,TRUE,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,TRUE,11,(ite (> (ite (or (>= (+ var4; var7;) (+ var10; var4;)) (< var11; (+ var1; (* 0 var2;)))) (+ (- (+ var2; var8;) (* 0 var2;)) (- (ite true var11; (- var8; var4;)) (+ var2; var8;))) var2;) (ite (and (and true false) false) (ite (or (>= (+ (- (ite true var11; (+ (- (+ var2; var8;) (- (ite true var11; (- (+ var2; var8;) (* 0 var2;))) (+ var1; var9;))) (- (ite true var11; var2;) (+ var2; var8;)))) (+ var1; var9;)) var7;) (- var9; var9;)) (< (* -1 var11;) (* 19 var9;))) (+ (- (- (+ var2; var8;) (* 0 var2;)) (* 0 var2;)) (- (ite true var11; (- var11; var4;)) (+ var1; var9;))) (- (- (* 0 var2;) (ite false var10; var4;)) (ite (= var5; var9;) (* 0 var2;) (+ var6; var11;)))) var11;)) 1(ite (not (or (or (> var10; var11;) (and true false)) false)) 10(ite (and (> var11; var9;) (<= var2; var3;)) 9(ite (or (or (>= var8; var9;) (= var2; var3;)) (>= var11; var8;)) 8(ite (> var11; var7;) 7(ite (or (< var6; var11;) (< var9; var11;)) 6(ite (> var11; var5;) 5(ite (>= var11; var4;) 4(ite (> var11; var3;) 3(ite (< var2; var11;) 2 (- 1 1))))))))))),1038
src\main\resources\benchmarks\fg_array_search_11.sl,TRUE,11,(ite (and (and (or (> (- var12; var1;) (* 0 var10;)) (and (or (> var5; var12;) (or (>= var3; var12;) (<= var5; var7;))) false)) (<= (ite false (- var2; var4;) var12;) var2;)) (or (>= var6; var10;) (< var12; var2;))) 1(ite (>= var12; var11;) (+ 1 10)(ite (<= var10; var12;) 10(ite (>= var12; var9;) 9(ite (or (>= var2; var6;) (< var8; var12;)) 8(ite (>= var12; var7;) 7(ite (<= var6; var12;) 6(ite (< var5; var12;) 5(ite (>= var12; var4;) 4(ite (> var12; (+ var11; (- var3; var11;))) 3(ite (> var12; var1;) 2 (- 1 1)))))))))))),526
src\main\resources\benchmarks\fg_array_search_12.sl,TRUE,20,(ite (not (<= (ite (not (< var13; var11;)) (ite true var12; -8) var13;) var13;)) 11(ite (and (or (and (<= var10; (ite false 0 var13;)) (<= var8; var8;)) (not true)) (< var13; var11;)) (+ 1 9)(ite (and (>= (* 0 var11;) (- var13; var12;)) (not (>= var9; var13;))) 9(ite (and (<= (- (ite false var1; var7;) var7;) (ite (and (<= var9; var8;) (and true false)) (- (+ (- var9; var1;) (+ var3; var2;)) (- 4 0)) (* 14 (- var8; var13;)))) (> var13; var7;)) 7(ite (not (> var12; (ite true var13; var6;))) 12(ite (and (> var13; var6;) (>= (+ (+ var8; var7;) (- var4; var7;)) (+ var13; var4;))) 6(ite (> var1; var13;) (- 1 1)(ite (and (or (and (>= var5; var13;) (and (> var13; var3;) (> var5; var13;))) (<= (+ var8; var10;) (* 9 var6;))) (and (> var13; var4;) (and (> var13; var3;) (> var5; var13;)))) 4(ite (and (>= (+ (+ (* -1 var9;) (ite true var13; var6;)) (ite false var10; var9;)) var3;) (> var4; var13;)) 3(ite (and (>= (ite false var3; var3;) var13;) (>= var13; var2;)) 2(ite (and (>= (ite (> var13; var6;) var3; var13;) var5;) (>= var11; var2;)) 5(ite (> var7; var13;) 1 8)))))))))))),1081
src\main\resources\benchmarks\fg_array_search_13.sl,TRUE,28,(ite (and (<= (ite true var14; -10) (ite false var7; var12;)) (> var14; var11;)) 11(ite (and (< var14; var11;) (>= var14; var10;)) (+ 1 9)(ite (and (> var14; var9;) (> (* 1 var11;) (ite true var14; var14;))) 9(ite (and (<= (+ (* 0 (ite true var9; var5;)) (ite (<= var14; var7;) (* -3 var10;) (* 0 var9;))) (- var12; var14;)) (>= var14; var8;)) 8(ite (and (> var14; var7;) (<= (ite (and false (or true false)) var13; var14;) var11;)) 7(ite (and (> var8; var14;) (<= var6; var14;)) 6(ite (and (<= (ite true var14; var4;) (+ -1 var6;)) (and (< var5; var14;) (> var2; var1;))) 5(ite (and (> var14; var3;) (< var14; var4;)) 3(ite (> (- (- (+ var3; var3;) (ite (< var14; var2;) (* -18 (- (- (- (- (+ var3; var14;) (ite (< var14; var2;) (* -18 (- var3; var12;)) (+ var8; var14;))) var14;) (ite (< var14; var2;) (ite (not true) (- var14; var10;) (* -18 (- (- (+ var3; var14;) (ite (< var14; var2;) (ite false var10; var3;) (- (- (+ var3; var14;) (ite (< var14; var2;) (+ (- var2; var14;) var14;) (+ var8; var14;))) var14;))) var12;))) var2;)) var14;)) (+ var8; var14;))) var14;) (- (- (+ var3; var14;) (ite (< var14; var2;) (- var3; var12;) (+ var8; var14;))) var14;)) 2(ite (>= var1; var14;) (- 1 1)(ite (< var13; var14;) 13(ite (and (< var14; var10;) (and (< var14; var9;) (<= var2; var14;))) 4(ite (>= var2; var14;) 1 12))))))))))))),1328
src\main\resources\benchmarks\fg_array_search_14.sl,TRUE,22,(ite (and (<= (ite false var12; var11;) (ite (< var15; var12;) var15; var8;)) (>= var15; var10;)) 11(ite (and (> var15; (ite (= var7; var6;) (+ var1; var6;) (ite true var10; var9;))) (> var11; (ite true var15; var1;))) (+ 1 9)(ite (and (and (> (ite false var3; var10;) (ite false var9; var15;)) (or (>= var15; var3;) (or false (< (ite false var9; var15;) var15;)))) (> var15; var9;)) 9(ite (< var15; (ite (not (> var15; var8;)) var15; var11;)) 8(ite (and (>= var15; var7;) (>= (- (- (* 11 (- (ite (<= var7; var15;) var7; var1;) var15;)) (- var2; var12;)) (- (* 11 (- (ite true var7; var1;) var15;)) (+ (- (- var2; var12;) var15;) var3;))) (ite (or false false) var6; (- var3; var9;)))) 7(ite (or (and (and (<= var3; var10;) (> var15; var6;)) (>= var8; var15;)) (= var4; var3;)) 6(ite (and (> var15; var5;) (not (< var11; var15;))) 5(ite (and (>= var15; var4;) (or (<= var13; var3;) (or (and false false) (<= var15; var12;)))) 4(ite (and (>= var6; var15;) (>= var15; var3;)) 3(ite (< (* 1 var15;) var1;) (- 1 1)(ite (and (> (* 6 (- var13; var15;)) (* 0 (- var7; var7;))) (> var15; var6;)) 12(ite (>= var2; var15;) 1(ite (not (not (< var14; var15;))) 14(ite (> var15; var11;) 13 2)))))))))))))),1192
src\main\resources\benchmarks\fg_array_search_15.sl,TRUE,37,(ite (not (or (<= (- (* 0 (+ var9; var13;)) (* -8 (- var16; var11;))) (- 1 1)) (>= var16; var12;))) 11(ite (and (>= (ite false var8; var10;) (ite (>= (+ (- var2; var2;) var12;) var16;) var10; var15;)) (< (ite true var10; var15;) (ite false var4; var16;))) (+ 1 9)(ite (and (<= var9; var16;) (> var12; var16;)) 9(ite (and (< (- (ite (> (+ var6; var2;) (+ var3; var11;)) (* 0 (+ var15; var1;)) (- (* 0 var7;) (ite false var7; var16;))) (- (* 0 var5;) (ite (<= var15; var10;) (* 14 var11;) (ite true var8; var2;)))) (* 0 (* 0 (ite (or true true) (ite false var12; var8;) (- var3; var6;))))) (<= var16; var10;)) 8(ite (and (< (- var16; var12;) (* 0 var3;)) (or (and (<= var5; -4) (> var13; (ite false (+ var7; var13;) var13;))) (not (<= var16; var7;)))) 7(ite (and (or (<= var11; var16;) false) (< (ite (> var12; var12;) 0 (* 1 var16;)) (+ var13; 1))) 12(ite (and (and (or (> var15; var16;) (not true)) (>= var16; var9;)) (< var14; var16;)) 14(ite (or (and (> var5; var16;) (> var16; var4;)) (and (< (+ var10; var13;) (- var1; var11;)) (>= (- (+ var12; var11;) var15;) (ite false var3; var13;)))) 4(ite (or (< (ite (>= (* 0 (* 1 var7;)) (- (- var16; var11;) (- var2; var11;))) (- var14; var5;) (- var16; var3;)) (* 0 (* 1 var7;))) (not (or (or false true) (and true (> (+ (+ var6; var14;) (* 17 var4;)) (ite (>= var6; var15;) (- var9; var5;) (+ var14; var10;))))))) 2(ite (and (not (not (<= var16; var1;))) (<= (+ (* 0 var5;) (- var12; var12;)) (ite (not false) (* 0 var5;) (+ var9; var16;)))) (- 1 1)(ite (< var14; var16;) 15(ite (>= var3; var16;) 1(ite (> var16; var7;) 13(ite (and (< (ite true 1 var1;) (- var16; (ite false var10; var4;))) (and (<= var16; var6;) (and true true))) 5(ite (and (< var16; var8;) (<= var6; var16;)) 6 3))))))))))))))),1745
src\main\resources\benchmarks\fg_array_search_16.sl,TRUE,34,(ite (and (>= (ite true var18; var3;) (ite false var11; var11;)) (and (< (- (ite true var11; var17;) (ite true var12; var2;)) (+ (* -1 (ite true var18; var4;)) (ite (< var12; var14;) (ite (not true) (+ var9; var16;) var11;) (* 1 var5;)))) true)) 11(ite (and (and (<= var18; (- var12; 0)) (> var18; var10;)) (and (<= (- var7; (ite true -6 6)) (- var12; 0)) (<= var8; var18;))) (+ 1 9)(ite (and (>= (ite true var9; var16;) (ite false var8; var18;)) (<= var8; var18;)) 8(ite (and (< var18; var13;) (<= var12; var18;)) 12(ite (and (not (< (* 1 var18;) (ite true var7; var8;))) (>= var9; (* 1 var18;))) 7(ite (and (and (<= var9; var10;) (> var18; var6;)) (> (- var16; var18;) (- var16; var8;))) 6(ite (and (<= var18; var9;) (and (and (not (> var5; (ite true var17; var1;))) (<= var5; var18;)) (not (< (ite false var5; var8;) (ite false var7; var7;))))) 5(ite (< var18; (ite (> var4; var18;) var18; (+ var8; (* 0 var4;)))) 4(ite (and (not (>= var18; var5;)) (and (> var11; var9;) (>= var18; var3;))) 3(ite (> var1; var18;) (- 1 1)(ite (and (or (and (> (ite false var18; 0) (* -1 0)) (= (* 9 var1;) (- var9; var12;))) (< var18; var15;)) (>= var16; (+ (ite (>= var15; var18;) (- var16; var18;) var11;) var14;))) 14(ite (and true (<= var18; var2;)) 1(ite (and (or true false) (> var18; var17;)) 17(ite (>= var18; var16;) 16(ite (> var18; var14;) 15(ite (> var18; var12;) 13(ite (<= var18; var6;) 2 9))))))))))))))))),1407
src\main\resources\benchmarks\fg_array_search_17.sl,TRUE,68,(ite (and (and (< (ite (< var11; var19;) var19; (+ (ite false var10; var9;) (- var11; var3;))) (- (+ (* 0 (- var11; var12;)) var12;) (* 0 (* 8 var16;)))) (>= var19; var11;)) (>= var15; (ite false var16; var19;))) 11(ite (and (<= var9; var19;) (and (or (< var10; var2;) (< var8; var19;)) (or (< var19; var10;) (and (<= var19; var10;) (or (and (and (<= var19; var10;) (and (>= var10; var19;) (< (ite (<= (- var6; var1;) (+ var11; var15;)) (ite true var11; var19;) (ite false var13; var9;)) (- (+ var4; var15;) (* -1 var14;))))) (< var6; (* -1 (+ var11; var4;)))) (= (+ var10; var16;) (+ var18; var9;))))))) 9(ite (and (< var12; var19;) (< (* 0 var16;) (* 1 (- var13; var19;)))) 12(ite (and (< var8; var19;) (< (ite (<= var7; var19;) var19; (ite (<= (ite true var4; 0) (* 0 (* 1 (- (* -1 var1;) (* 0 var10;))))) var15; var17;)) var10;)) 8(ite (not (> var18; var19;)) 18(ite (not (or (< var19; var7;) (> (ite false var2; var19;) var8;))) 7(ite (and (>= (ite true var19; var6;) var4;) (< var19; var5;)) 4(ite (and (and (> var19; var15;) (and (>= (- var19; var15;) (* 0 var13;)) (>= (+ (ite false var14; -3) var16;) var14;))) (>= (* 19 var16;) (- (+ (ite false var4; -3) var16;) (* -18 (ite true var19; var7;))))) 15(ite (<= var19; var1;) (- 1 1)(ite (and (> (ite true (* 0 (+ (ite false var3; var1;) (+ var17; var18;))) var7;) (- var19; var17;)) (not (< var19; var15;))) 16(ite (<= var17; var19;) 17(ite (and (<= var14; var19;) (and (>= var19; var13;) (and (< (* -1 (ite (< (* -1 (ite (> var19; var10;) (* -1 (ite (<= var8; var19;) var19; (- (+ var16; var19;) var8;))) (* -14 (* -1 (- var8; var15;))))) (ite (<= var14; var19;) var15; var8;)) (- (- var9; var19;) (- var8; var15;)) (* 0 var6;))) (* 0 (ite (and (>= var19; var13;) (< (* -1 (- (- var9; var19;) (* -1 (ite (and false false) var19; (* -1 (ite (<= (* -1 (- (* -1 (ite (< (* -1 (ite (> var19; var10;) (* -1 (ite (<= var8; var19;) var19; (- (+ var16; var19;) var8;))) (* -14 (* -1 (- var8; var15;))))) (ite (<= var14; var19;) (* 1 var16;) (- var8; (ite (>= var19; var13;) (* -1 (ite (>= var19; var13;) var19; (- (+ var16; var19;) (- var8; var15;)))) (- var9; var19;))))) (- (- var9; var19;) (- var8; var15;)) (* 0 var6;))) var8;)) var19;) (- var13; var6;) (* 0 var6;))))))) (* -14 (* -1 (- (- var9; var19;) (- var8; var15;)))))) (- var13; var6;) (ite (>= var8; var10;) (ite (<= (- (ite (>= var8; var10;) (ite (and false false) (* -1 var6;) var6;) var8;) var19;) var19;) (- (- var9; var19;) var19;) (- var2; var11;)) (* 0 var6;))))) (and (<= var8; var19;) (and (> var19; var10;) (<= var1; var17;)))))) 14(ite (and (>= var19; var10;) (and (< var10; var19;) (<= var19; var13;))) (+ 1 9)(ite (and (>= var4; var19;) (and (< var19; (ite (< var19; var3;) var12; var14;)) (and (< var19; var3;) (and (< var19; var4;) (and (<= var19; (ite false (- var14; var1;) var14;)) (not (<= var19; var2;))))))) 2(ite (and (>= var6; var19;) (and (>= (ite (>= var6; var19;) (ite false var4; var19;) (+ var14; var4;)) var4;) (and (>= (ite (<= var4; var6;) var19; (ite (>= (ite false var11; var19;) var1;) var19; (- var19; var10;))) var1;) (and (<= var4; var6;) (or (not false) (<= var1; 2)))))) 5(ite (and (>= var4; var19;) (and (>= var5; var19;) (>= var19; var2;))) 3(ite (and (< var7; var12;) (and (<= var5; var19;) (and (>= var7; var19;) (not (= var1; var17;))))) 6(ite (and (> var19; (+ (- (* 6 var19;) (* 11 var16;)) (* 6 var19;))) (and (> var19; var12;) (and (< var12; var19;) (and true true)))) 13 1)))))))))))))))))),3453
src\main\resources\benchmarks\fg_array_search_18.sl,TRUE,71,(ite (and (>= (* -15 var16;) (* -15 var16;)) (and (> (ite (= (- var2; -12) (ite false var3; var14;)) (- (+ (+ (ite (>= var10; var6;) (+ var1; var12;) (ite false var18; var17;)) (* 0 (ite true var20; var1;))) var6;) (* -1 (ite false var14; var4;))) (* -18 (- var11; var20;))) (- var11; var20;)) (and (and (> var12; (ite false var12; var20;)) (>= var20; var10;)) (and (<= var20; var13;) (> var12; var11;))))) 11(ite (and (< var20; var13;) (not (or (= var4; var5;) (>= var12; var20;)))) 12(ite (and (> (- var15; var20;) 0) (< var14; var20;)) 14(ite (and (>= var20; var8;) (or (or false false) (>= var9; var20;))) 8(ite (and (not (<= var7; var20;)) (> var20; var6;)) 6(ite (and (or (>= var20; (- (ite (or false false) (- var18; var18;) (+ var7; (* 0 (ite (not false) (- var15; var16;) (ite (> (+ var8; -14) (* 0 var15;)) (ite (> var19; var4;) (- var7; var17;) (- var15; var16;)) (* 0 (+ var18; var5;))))))) (* -1 (* 0 (+ var18; var5;))))) false) (> var9; (ite true var20; var16;))) 7(ite (or (and (<= (+ var18; var20;) (- var5; (- var14; var4;))) (not (<= var4; var6;))) (and (not (> var3; var20;)) (and (<= var20; var5;) (not (> (+ var4; 0) var20;))))) 4(ite (and (>= var20; var19;) (<= var4; var12;)) 19(ite (and (> var20; (ite false var8; var2;)) (>= var3; var20;)) 2(ite (and (<= var15; var20;) (<= var20; var16;)) 15(ite (>= var1; var20;) (- 1 1)(ite (and (< var12; var20;) (or (< var20; (ite (<= var7; var18;) (ite (> (ite false var9; var20;) (* 1 var6;)) (ite false var13; var15;) (ite (>= var1; var18;) (+ var20; var8;) (+ var16; var3;))) (- 1 var14;))) (= var20; (+ var10; 4)))) 13(ite (and (>= var20; var16;) (not (<= var17; var20;))) 16(ite (and (> var20; (ite true (ite true var17; var20;) var20;)) (and (> (ite (< var14; (+ (- var18; var4;) (+ (+ var20; (ite (< var14; (+ (* -14 (ite true var17; (+ (+ var1; (ite true var17; (* -17 var1;))) (- var18; var4;)))) (- var18; var11;))) var17; var20;)) var9;))) var17; var20;) (- (+ (* -14 (ite false var11; (+ (+ (- var18; var20;) (- var18; (+ var20; var9;))) var9;))) (ite true var17; (+ var20; (- var20; var11;)))) (* 0 var20;))) (>= var18; var20;))) 17(ite (and (> var12; var20;) (and (<= var9; var20;) (> var20; var10;))) (+ 1 9)(ite (and (<= var20; var2;) (and (>= (ite false var12; var2;) var20;) true)) 1(ite (<= var20; var4;) 3(ite (not (and (<= (ite (= var4; var3;) var5; var2;) var17;) (>= var13; var20;))) 18(ite (and (>= var12; var1;) (and (>= var20; var9;) (not (or (> var7; var20;) (and true false))))) 9 5))))))))))))))))))),2493
