benchmark,median,max
src\main\resources\benchmarks\diff.sl,1,0
src\main\resources\benchmarks\fg_array_search_10.sl,21,10
src\main\resources\benchmarks\fg_array_search_11.sl,22,12
src\main\resources\benchmarks\fg_array_search_12.sl,24,19
src\main\resources\benchmarks\fg_array_search_13.sl,28,21
src\main\resources\benchmarks\fg_array_search_14.sl,51,25
src\main\resources\benchmarks\fg_array_search_15.sl,40,27
src\main\resources\benchmarks\fg_array_search_16.sl,50,33
src\main\resources\benchmarks\fg_array_search_17.sl,74,41
src\main\resources\benchmarks\fg_array_search_18.sl,75,50
src\main\resources\benchmarks\fg_array_search_19.sl,82,72
src\main\resources\benchmarks\fg_array_search_2.sl,1,1
src\main\resources\benchmarks\fg_array_search_20.sl,75,62
src\main\resources\benchmarks\fg_array_search_3.sl,2,2
src\main\resources\benchmarks\fg_array_search_4.sl,3,3
src\main\resources\benchmarks\fg_array_search_5.sl,4,4
src\main\resources\benchmarks\fg_array_search_6.sl,9,5
src\main\resources\benchmarks\fg_array_search_7.sl,8,6
src\main\resources\benchmarks\fg_array_search_8.sl,9,7
src\main\resources\benchmarks\fg_array_search_9.sl,12,8
src\main\resources\benchmarks\fg_array_sum_10_15.sl,2986,1056
src\main\resources\benchmarks\fg_array_sum_10_5.sl,3171,1007
src\main\resources\benchmarks\fg_array_sum_2_15.sl,1,1
src\main\resources\benchmarks\fg_array_sum_2_5.sl,1,0
src\main\resources\benchmarks\fg_array_sum_3_15.sl,2,2
src\main\resources\benchmarks\fg_array_sum_3_5.sl,2,1
src\main\resources\benchmarks\fg_array_sum_4_15.sl,17,3
src\main\resources\benchmarks\fg_array_sum_4_5.sl,4,3
src\main\resources\benchmarks\fg_array_sum_5_15.sl,31,8
src\main\resources\benchmarks\fg_array_sum_5_5.sl,41,10
src\main\resources\benchmarks\fg_array_sum_6_15.sl,57,26
src\main\resources\benchmarks\fg_array_sum_6_5.sl,82,41
src\main\resources\benchmarks\fg_array_sum_7_15.sl,79,45
src\main\resources\benchmarks\fg_array_sum_7_5.sl,739,68
src\main\resources\benchmarks\fg_array_sum_8_15.sl,834,256
src\main\resources\benchmarks\fg_array_sum_8_5.sl,1154,173
src\main\resources\benchmarks\fg_array_sum_9_15.sl,1341,416
src\main\resources\benchmarks\fg_array_sum_9_5.sl,1053,597
src\main\resources\benchmarks\fg_max10.sl,34,26
src\main\resources\benchmarks\fg_max11.sl,61,42
src\main\resources\benchmarks\fg_max12.sl,88,57
src\main\resources\benchmarks\fg_max13.sl,124,83
src\main\resources\benchmarks\fg_max14.sl,172,132
src\main\resources\benchmarks\fg_max15.sl,281,187
src\main\resources\benchmarks\fg_max16.sl,400,302
src\main\resources\benchmarks\fg_max17.sl,666,383
src\main\resources\benchmarks\fg_max18.sl,803,549
src\main\resources\benchmarks\fg_max19.sl,942,769
src\main\resources\benchmarks\fg_max2.sl,1,0
src\main\resources\benchmarks\fg_max20.sl,1444,1155
src\main\resources\benchmarks\fg_max3.sl,1,1
src\main\resources\benchmarks\fg_max4.sl,2,2
src\main\resources\benchmarks\fg_max5.sl,4,3
src\main\resources\benchmarks\fg_max6.sl,6,5
src\main\resources\benchmarks\fg_max7.sl,10,7
src\main\resources\benchmarks\fg_max8.sl,15,12
src\main\resources\benchmarks\fg_max9.sl,25,14
src\main\resources\benchmarks\fg_mpg_example1.sl,1,0
src\main\resources\benchmarks\fg_mpg_example2.sl,1114,342
src\main\resources\benchmarks\fg_mpg_example3.sl,10,7
src\main\resources\benchmarks\fg_mpg_example4.sl,72,21
src\main\resources\benchmarks\fg_mpg_example5.sl,13,8
src\main\resources\benchmarks\fg_mpg_guard1.sl,0,0
src\main\resources\benchmarks\fg_mpg_guard2.sl,0,0
src\main\resources\benchmarks\fg_mpg_guard3.sl,0,0
src\main\resources\benchmarks\fg_mpg_guard4.sl,1,0
src\main\resources\benchmarks\fg_mpg_ite1.sl,3,1
src\main\resources\benchmarks\fg_mpg_ite2.sl,3,2
src\main\resources\benchmarks\fg_mpg_plane1.sl,0,0
src\main\resources\benchmarks\fg_mpg_plane2.sl,0,0
src\main\resources\benchmarks\fg_mpg_plane3.sl,0,0
src\main\resources\benchmarks\large.sl,0,0
src\main\resources\benchmarks\large_linear_func.sl,0,0
src\main\resources\benchmarks\small.sl,0,0
src\main\resources\benchmarks\small_linear_func.sl,0,0
