Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,1,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,13,(ite (or (and (< (ite  true  (ite  true  (* 0 var10;) (- var9; var10;)) (- (- var3; var10;) (- 1 var9;))) (+ var11; (ite (or true false) (* -1 var1;) (+ var3; var2;)))) (<= var11; var2;)) (and (< (ite  true  (ite  true  (* 0 var10;) (- var9; var10;)) (- (- var3; var10;) (- 1 var9;))) (+ var11; (ite (or true false) (* -1 var1;) (+ var3; var2;)))) (<= var11; var2;))) 1(ite (or (<= var10; var11;) (<= var10; var11;)) 10(ite (or (< var9; var11;) (< var9; var11;)) 9(ite (or (> var11; var8;) (> var11; var8;)) 8(ite (or (> (ite true var11; var5;) (ite true var7; var3;)) (> (ite true var11; var5;) (ite true var7; var3;))) 7(ite (or (<= var6; var11;) (<= var6; var11;)) 6(ite (or (<= var5; var11;) (<= var5; var11;)) 5(ite (or (> var11; var4;) (> var11; var4;)) 4(ite (or (< var3; var11;) (< var3; var11;)) 3(ite (or (not (or (or false (>= var2; var11;)) (not (or  true   false )))) (not (or (or false (>= var2; var11;)) (not (or  true   false ))))) 2 (- 1 1))))))))))),967
src\main\resources\benchmarks\fg_array_search_11.sl,true,17,(ite (or (and (and (and  true  (and (and (and  true  (and (and  true   true ) (> (+ var12; var9;) (+ (* 1 var1;) var9;)))) (< var12; var2;))  true )) (not  false ))  true ) (and (and (and  true  (and (and (and  true  (and (and  true   true ) (> (+ var12; var9;) (+ (* 1 var1;) var9;)))) (< var12; var2;))  true )) (not  false ))  true )) 1(ite (or (and (or  false  (< var11; var12;)) (and  true  true)) (and (or  false  (< var11; var12;)) (and  true  true))) (+ 1 10)(ite (or (< var10; var12;) (< var10; var12;)) 10(ite (or (not (> var9; var12;)) (not (> var9; var12;))) 9(ite (or (>= (ite true var12; var9;) var8;) (>= (ite true var12; var9;) var8;)) 8(ite (or (< var7; var12;) (< var7; var12;)) 7(ite (or (> var12; var6;) (> var12; var6;)) 6(ite (or (and (<= var5; var12;) (or false true)) (and (<= var5; var12;) (or false true))) 5(ite (or (< var4; var12;) (< var4; var12;)) 4(ite (or (not (> var3; var12;)) (not (> var3; var12;))) 3(ite (or (> var12; var1;) (> var12; var1;)) 2 (- 1 1)))))))))))),1000
src\main\resources\benchmarks\fg_array_search_12.sl,true,30,(ite (or (<= (ite (> var13; var11;) (+ (- var13; var12;) (* -13 var2;)) (* 0 var8;)) (ite (<= var11; var13;) (* -13 var2;) (- var8; var9;))) (<= (ite (> var13; var11;) (+ (- var13; var12;) (* -13 var2;)) (* 0 var8;)) (ite (<= var11; var13;) (* -13 var2;) (- var8; var9;)))) 11(ite (or (and  true  (and  true  (and (<= var10; var13;) (and (and (and (<= var13; var11;) (and  true   true ))  true )  true )))) (and  true  (and  true  (and (<= var10; var13;) (and (and (and (<= var13; var11;) (and  true   true ))  true )  true ))))) (+ 1 9)(ite (or (and (<= var13; var11;) (<= var9; var13;)) (and (<= var13; var11;) (<= var9; var13;))) 9(ite (or (and (>= var11; var13;) (> var13; var8;)) (and (>= var11; var13;) (> var13; var8;))) 8(ite (or (< var11; var13;) (< var11; var13;)) 12(ite (or (<= (+ var13; (* 0 var11;)) var1;) (<= (+ var13; (* 0 var11;)) var1;)) (- 1 1)(ite (or (and (and  true  (< var5; var13;)) (<= (- (+ (- var13; var1;) (ite true var13; (+ (- var4; var6;) (* 0 (- var6; var7;))))) var6;) (- var13; var1;))) (and (and  true  (< var5; var13;)) (<= (- (+ (- var13; var1;) (ite true var13; (+ (- var4; var6;) (* 0 (- var6; var7;))))) var6;) (- var13; var1;)))) 5(ite (or (and (>= var5; var13;) (>= var13; var4;)) (and (>= var5; var13;) (>= var13; var4;))) 4(ite (or (and (< var13; var4;) (<= var3; var13;)) (and (< var13; var4;) (<= var3; var13;))) 3(ite (or (or  false  (< (ite (>= var13; var2;) (ite true var13; var2;) var8;) var5;)) (or  false  (< (ite (>= var13; var2;) (ite true var13; var2;) var8;) var5;))) 2(ite (or (< var13; var6;) (< var13; var6;)) 1(ite (or (and  true  (and  true  (or (or (>= var7; (ite (or true true) var13; var2;)) (and (not (not false))  false ))  false ))) (and (>= var13; var6;) (and (<= var6; var13;) (or (or (>= var7; (ite (or true true) var13; var2;)) (and (not (not false))  false ))  false )))) 6 7)))))))))))),1860
src\main\resources\benchmarks\fg_array_search_13.sl,true,28,(ite (or (and (< (ite (and true false) (- var2; var14;) (+ var14; var13;)) (+ var12; var13;)) (> var14; var11;)) (and (< (ite (and true false) (- var2; var14;) (+ var14; var13;)) (+ var12; var13;)) (> var14; var11;))) 11(ite (or (and (not (or (and  false  (or true true)) (not (> var12; var14;)))) (or (and false false) (<= var10; var14;))) (and (not (or (and  false  (or true true)) (not (> var12; var14;)))) (or (and false false) (<= var10; var14;)))) (+ 1 9)(ite (or (and (<= var9; var14;) (< var14; var11;)) (and (<= var9; var14;) (< var14; var11;))) 9(ite (or (and (<= var8; var14;) (> var10; var14;)) (and (<= var8; var14;) (> var10; var14;))) 8(ite (or (>= (ite (<= var11; var14;) (* 1 var6;) var14;) (ite false var2; var7;)) (>= (ite (<= var11; var14;) (* 1 var6;) var14;) (ite false var2; var7;))) 7(ite (or (and (< var14; var8;) (not (< var14; var6;))) (and (< var14; var8;) (not (< var14; var6;)))) 6(ite (or (or  false  (< var5; (* 1 (ite (< var14; var7;) var14; var1;)))) (or  false  (< var5; (* 1 (ite (< var14; var7;) var14; var1;))))) 5(ite (or (and (< (+ (* 0 var13;) (ite (or false true) (ite false var14; var11;) (+ var14; 18))) var14;) (<= var14; var13;)) (and (< (+ (* 0 var13;) (ite (or false true) (ite false var14; var11;) (+ var14; 18))) var14;) (<= var14; var13;))) 12(ite (or (and (< var14; var2;) (>= (ite (= var5; var12;) (- var1; var14;) (- var10; var10;)) (ite (not true) (- var10; var5;) (- var1; var14;)))) (and (< var14; var2;) (>= (ite (= var5; var12;) (- var1; var14;) (- var10; var10;)) (ite (not true) (- var10; var5;) (- var1; var14;))))) 1(ite (or (and (or  false  (< var6; (- (+ var14; var6;) var2;))) (>= var3; var14;)) (and (or  false  (< var6; (- (+ var14; var6;) var2;))) (>= var3; var14;))) 2(ite (or (< var14; var2;) (< var14; var2;)) (- 1 1)(ite (or (>= (ite (and (and true true) (not true)) -1 var14;) var11;) (>= (ite (and (and true true) (not true)) -1 var14;) var11;)) 13(ite (or (and  true  (and  true  (>= var14; var4;))) (and (< var14; var11;) (and (> (- var9; var10;) (- var14; var10;)) (>= var14; var4;)))) 4 3))))))))))))),2080
src\main\resources\benchmarks\fg_array_search_14.sl,true,24,(ite (or (and (and  true  (> var15; var11;)) (> (+ 0 var12;) var15;)) (and (and  true  (> var15; var11;)) (> (+ 0 var12;) var15;))) 11(ite (or (and (not (>= (ite false var9; var15;) (ite false (* 12 var5;) var12;))) (not (<= var15; var10;))) (and (not (>= (ite false var9; var15;) (ite false (* 12 var5;) var12;))) (not (<= var15; var10;)))) (+ 1 9)(ite (or (and (<= var9; var15;) (< (+ (+ (- var15; var12;) (* 0 var8;)) (ite (not (and false true)) (* 0 (* 19 var11;)) (+ (* -1 var9;) (ite true var8; var8;)))) (* 0 (- (+ var2; var1;) (+ var6; var3;))))) (and (<= var9; var15;) (< (+ (+ (- var15; var12;) (* 0 var8;)) (ite (not (and false true)) (* 0 (* 19 var11;)) (+ (* -1 var9;) (ite true var8; var8;)))) (* 0 (- (+ var2; var1;) (+ var6; var3;)))))) 9(ite (or (and (and (>= var15; var8;) (not  false )) (>= var11; (ite true var15; var9;))) (and (and (>= var15; var8;) (not  false )) (>= var11; (ite true var15; var9;)))) 8(ite (or (and (< var7; var15;) (not (> var5; (ite (<= var15; var8;) var15; var3;)))) (and (< var7; var15;) (not (> var5; (ite (<= var15; var8;) var15; var3;))))) 7(ite (or (and  true  (and (>= var15; var6;) (<= var15; var7;))) (and  true  (and (>= var15; var6;) (<= var15; var7;)))) 6(ite (or (and (>= var15; (ite true var5; var12;)) (> var7; var15;)) (and (>= var15; (ite true var5; var12;)) (> var7; var15;))) 5(ite (or (and (and (not (< var15; var4;)) (< var15; var10;))  true ) (and (and (not (< var15; var4;)) (< var15; var10;))  true )) 4(ite (or (< var15; (ite (> var15; var3;) (* 1 (* 1 var5;)) var15;)) (< var15; (ite (> var15; var3;) (* 1 (* 1 var5;)) var15;))) 3(ite (or (and (> var15; var2;) (or (not (not (and true false))) (< var15; var5;))) (and (> var15; var2;) (or (not (not (and true false))) (< var15; var5;)))) 2(ite (or (>= var1; var15;) (>= var1; var15;)) (- 1 1)(ite (or (>= (+ var8; var3;) (+ var15; var4;)) (>= (+ var8; var3;) (+ var15; var4;))) 1(ite (or (< var14; var15;) (< var14; var15;)) 14(ite (or (not (not (not (<= var15; var13;)))) (not (not (not (<= var15; var13;))))) 13 12)))))))))))))),2048
src\main\resources\benchmarks\fg_array_search_15.sl,true,27,(ite (or (and (>= var12; var16;) (> var16; var11;)) (and (>= var12; var16;) (> var16; var11;))) 11(ite (or (and (< (- (- (* 1 (ite true var16; var9;)) var12;) (* -4 0)) -1) (<= var10; var16;)) (and (< (- (- (* 1 (ite true var16; var9;)) var12;) (* -4 0)) -1) (<= var10; var16;))) (+ 1 9)(ite (or (> (+ (* -1 (+ var16; var6;)) (ite (>= var16; var9;) (+ var10; var9;) (+ var16; var6;))) (- (- (+ (- var9; var6;) (- var3; var3;)) (* 0 -17)) (* 0 (- (- (- var8; var5;) (* 0 -17)) (+ var9; var7;))))) (> (+ (* -1 (+ var16; var6;)) (ite (>= var16; var9;) (+ var10; var9;) (+ var16; var6;))) (- (- (+ (- var9; var6;) (- var3; var3;)) (* 0 -17)) (* 0 (- (- (- var8; var5;) (* 0 -17)) (+ var9; var7;)))))) 9(ite (or (and (> (ite (and  false   false ) var12; var16;) var8;) (>= var9; var16;)) (and (> (ite (and  false   false ) var12; var16;) var8;) (>= var9; var16;))) 8(ite (or (and (< (- var16; var10;) (ite  true  (* 0 var15;) (+ var5; var2;))) (>= var16; var7;)) (and (< (- var16; var10;) (ite  true  (* 0 var15;) (+ var5; var2;))) (>= var16; var7;))) 7(ite (or (and (< (+ (ite false var11; -5) var16;) (ite (or false false) var9; var8;)) (>= var16; var6;)) (and (< (+ (ite false var11; -5) var16;) (ite (or false false) var9; var8;)) (>= var16; var6;))) 6(ite (or (and (<= (- var16; (+ 0 var15;)) (+ var8; (* -1 var15;))) (>= var16; var5;)) (and (<= (- var16; (+ 0 var15;)) (+ var8; (* -1 var15;))) (>= var16; var5;))) 5(ite (or (and (> var5; var16;) (>= var16; var4;)) (and (> var5; var16;) (>= var16; var4;))) 4(ite (or (not (or (not  true ) (or (not (<= var3; var16;)) (not (<= (- (ite (<= var7; var9;) (* 0 var16;) (- var12; var3;)) (- (ite true var11; var12;) var16;)) (* 0 (* 0 (+ var15; var11;)))))))) (not (or (not  true ) (or (not (<= var3; var16;)) (not (<= (- (ite (<= var7; var9;) (* 0 var16;) (- var12; var3;)) (- (ite true var11; var12;) var16;)) (* 0 (* 0 (+ var15; var11;))))))))) 3(ite (or (and (or (not (not  false )) (> (ite (> var8; var5;) (ite true var10; var1;) (ite true var14; 0)) (ite (or true true) (+ 2 var16;) (* 0 (* 0 var5;))))) (> (- (+ (* 2 var2;) (* 2 var2;)) (* -1 (* 14 var16;))) (* 9 (+ (* 2 var2;) (* 0 var5;))))) (and (or (not (not  false )) (> (ite (> var8; var5;) (ite true var10; var1;) (ite true var14; 0)) (ite (or true true) (+ 2 var16;) (* 0 (* 0 var5;))))) (> (- (+ (* 2 var2;) (* 2 var2;)) (* -1 (* 14 var16;))) (* 9 (+ (* 2 var2;) (* 0 var5;)))))) 2(ite (or (< var16; var1;) (< var16; var1;)) (- 1 1)(ite (or (not (< var10; var16;)) (not (< var10; var16;))) 1(ite (or (and (< var15; var16;)  true ) (and (< var15; var16;)  true )) 15(ite (or (>= var16; var14;) (>= var16; var14;)) 14(ite (or (< (ite (and (< var3; 0)  false ) var12; var13;) var16;) (< (ite (and (< var3; 0)  false ) var12; var13;) var16;)) 13 12))))))))))))))),2771
src\main\resources\benchmarks\fg_array_search_16.sl,true,61,(ite (or (and (< var12; var18;) (<= var18; var13;)) (and (< var12; var18;) (<= var18; var13;))) 12(ite (or (and (and (or  false   true ) (>= var15; var18;)) (<= var14; var18;)) (and (and (or  false   true ) (>= var15; var18;)) (<= var14; var18;))) 14(ite (or (and (<= (+ var18; var10;) (+ var10; var9;)) (<= var8; (ite true var18; 0))) (and (<= (+ var18; var10;) (+ var10; var9;)) (<= var8; (ite true var18; 0)))) 8(ite (or (and (<= var18; var10;) (< var8; var18;)) (and (<= var18; var10;) (< var8; var18;))) 9(ite (or (<= (ite (>= var7; var18;) (ite true var17; 16) var18;) var8;) (<= (ite (>= var7; var18;) (ite true var17; 16) var18;) var8;)) 7(ite (or (and (>= var18; var5;) (< (ite (and (< var18; var9;)  false ) (* -1 (- (- var6; var10;) var18;)) (ite (and (and (< var3; var18;) (< var3; var18;)) (< var3; var18;)) (* -1 (- (- var6; var10;) var18;)) (+ var18; var3;))) var10;)) (and (>= var18; var5;) (< (ite (and (< var18; var9;)  false ) (* -1 (- (- var6; var10;) var18;)) (ite (and (and (< var3; var18;) (< var3; var18;)) (< var3; var18;)) (* -1 (- (- var6; var10;) var18;)) (+ var18; var3;))) var10;))) 5(ite (or (and  true  (> var1; var18;)) (and  true  (> var1; var18;))) (- 1 1)(ite (or (and (and (>= var18; (ite true var4; var18;))  true ) (< var18; var6;)) (and (and (>= var18; (ite true var4; var18;))  true ) (< var18; var6;))) 4(ite (or (and (and (> var18; var3;)  true ) (>= var6; var18;)) (and (and (> var18; var3;)  true ) (>= var6; var18;))) 3(ite (or (and (or false  true ) (and (not (or (<= var16; var18;) false)) (<= var14; var18;))) (and (or false  true ) (and (not (or (<= var16; var18;) false)) (<= var14; var18;)))) 15(ite (or (and (<= var12; var18;) (and (>= (+ (* 1 (ite true var16; var1;)) (- var11; (ite (> var18; var12;) var18; var11;))) var11;)  true )) (and (<= var12; var18;) (and (>= (+ (* 1 (ite true var16; var1;)) (- var11; (ite (> var18; var12;) var18; var11;))) var11;)  true ))) 13(ite (or (and (or  false  (< (+ (* 0 var7;) (* 0 var17;)) (* 17 (- var17; var18;)))) (or (<= var12; var18;) (and false false))) (and (or  false  (< (+ (* 0 var7;) (* 0 var17;)) (* 17 (- var17; var18;)))) (or (<= var12; var18;) (and false false)))) 16(ite (or (<= var17; var18;) (<= var17; var18;)) 17(ite (or (and (>= var18; var9;) (< var18; var11;)) (and (>= var18; var9;) (< var18; var11;))) (+ 1 9)(ite (or (and (< var5; var18;) (and (not  false ) (>= (ite false var5; var10;) (* 1 var18;)))) (and (< var5; var18;) (and (not  false ) (>= (ite false var5; var10;) (* 1 var18;))))) 6(ite (or (and (<= var18; var2;)  true ) (and (<= var18; var2;) (> var2; var18;))) 1(ite (or (and  true  (and (>= var6; var18;)  true )) (and (>= var4; var3;) (and (>= var6; var18;) (< var7; var9;)))) 2 11))))))))))))))))),2730
src\main\resources\benchmarks\fg_array_search_17.sl,true,56,(ite (or (and (<= (- (ite true var19; var8;) (ite true var19; var8;)) (- var11; var19;)) (> (ite true var19; var8;) (ite false var4; var10;))) (and (<= (- (ite true var19; var8;) (ite true var19; var8;)) (- var11; var19;)) (> (ite true var19; var8;) (ite false var4; var10;)))) (+ 1 9)(ite (or (and (and (and (<= var12; var19;)  true )  true ) (and (< var19; var13;)  true )) (and (and (and (<= var12; var19;)  true )  true ) (and (< var19; var13;)  true ))) 12(ite (or (and (and  true  (< (ite false var8; var19;) var11;)) (<= var9; var19;)) (and (and  true  (< (ite false var8; var19;) var11;)) (<= var9; var19;))) 9(ite (or (>= (ite (< (ite (< var9; var19;) (ite true var3; (ite  false  var3; var9;)) var19;) var19;) (ite true var3; (ite  false  var3; var9;)) var19;) var8;) (>= (ite (< (ite (< var9; var19;) (ite true var3; (ite  false  var3; var9;)) var19;) var19;) (ite true var3; (ite  false  var3; var9;)) var19;) var8;)) 8(ite (or (and (<= var19; var7;) (< (ite true var6; var14;) var19;)) (and (<= var19; var7;) (< (ite true var6; var14;) var19;))) 6(ite (or (< var18; var19;) (< var18; var19;)) 18(ite (or (and (or (and (> (* 1 var6;) (ite false var2; var19;)) (or  false  (or true true))) (and (and  false   false )  false )) (< var5; var19;)) (and (or (and (> (* 1 var6;) (ite false var2; var19;)) (or  false  (or true true))) (and (and  false   false )  false )) (< var5; var19;))) 5(ite (or (and (<= var19; var5;) (>= (- var19; var4;) (- var7; var7;))) (and (<= var19; var5;) (>= (- var19; var4;) (- var7; var7;)))) 4(ite (or (and (and (or (< (* -1 (- var19; var3;)) (* 0 (* 0 var4;))) (and (and (or true true)  false )  false )) (>= var4; var19;)) (not  false )) (and (and (or (< (* -1 (- var19; var3;)) (* 0 (* 0 var4;))) (and (and (or true true)  false )  false )) (>= var4; var19;)) (not  false ))) 3(ite (or (and (<= var2; var19;) (>= var6; var19;)) (and (<= var2; var19;) (>= var6; var19;))) 2(ite (or (>= var1; var19;) (>= var1; var19;)) (- 1 1)(ite (or (and (and  true  (< var5; var19;)) (< var19; var10;)) (and (and  true  (< var5; var19;)) (< var19; var10;))) 7(ite (or (<= var19; var6;) (<= var19; var6;)) 1(ite (or (>= var19; var17;) (>= var19; var17;)) 17(ite (or (<= var16; var19;) (<= var16; var19;)) 16(ite (or (< var15; var19;) (< var15; var19;)) 15(ite (or (and (>= var19; var14;) (and  true   true )) (and (>= var19; var14;) (and (<= (ite (> (ite (<= var14; (+ var19; var19;)) var16; var13;) (- (+ var19; (+ var13; var5;)) var16;)) (ite (= var19; (+ var19; var19;)) var7; var19;) (ite (and (<= var14; var19;) (= (+ var9; (+ var7; var17;)) (+ var13; var5;))) (- (ite true var19; var5;) (* 1 var17;)) (- (+ var19; (ite (> (ite (<= var14; var19;) var16; var13;) (- (+ var19; (* 1 var17;)) var16;)) var7; var19;)) (* 1 var17;)))) var19;) (= var19; (ite (= var19; var14;) var7; var19;))))) 14(ite (or (and  true  (and  true  (> var19; var12;))) (and (< var10; var19;) (and (<= var1; var6;) (> var19; var12;)))) 13 11)))))))))))))))))),2963
src\main\resources\benchmarks\fg_array_search_18.sl,true,67,(ite (or (and (>= var20; var11;) (< (ite  false  (+ 17 var12;) var20;) (ite (not (< var20; var11;)) var12; var11;))) (and (>= var20; var11;) (< (ite  false  (+ 17 var12;) var20;) (ite (not (< var20; var11;)) var12; var11;)))) 11(ite (or (and (>= (ite (>= (ite true var18; var14;) (- (+ var8; var9;) (ite true var12; var16;))) (ite (> var8; var20;) var1; var20;) (ite false var6; var4;)) var9;) (> var10; var20;)) (and (>= (ite (>= (ite true var18; var14;) (- (+ var8; var9;) (ite true var12; var16;))) (ite (> var8; var20;) var1; var20;) (ite false var6; var4;)) var9;) (> var10; var20;))) 9(ite (or (and (> var20; (ite true var12; var13;)) (> var13; var20;)) (and (> var20; (ite true var12; var13;)) (> var13; var20;))) 12(ite (or (and (>= var20; var8;) (> var10; var20;)) (and (>= var20; var8;) (> var10; var20;))) 8(ite (or (and (>= var20; (- var20; (- var20; var7;))) (<= var20; var8;)) (and (>= var20; (- var20; (- var20; var7;))) (<= var20; var8;))) 7(ite (or (and (> (ite (> (- (* 0 var18;) (- -1 var13;)) (- (ite false var8; -14) (+ var17; var11;))) (+ var20; (- (- var3; var5;) (- (* 0 var18;) (- -1 var13;)))) (ite (or  false   false ) (- (- var4; var16;) (+ (* 0 var9;) (ite true var11; var20;))) (- var3; var9;))) (+ (ite (or (>= (ite false var10; var20;) (ite true var5; var10;))  false ) (- (- var4; var16;) (* 0 var18;)) (* 0 var17;)) (* 1 (+ (* 0 var9;) (- var3; var5;))))) (> var6; var20;)) (and (> (ite (> (- (* 0 var18;) (- -1 var13;)) (- (ite false var8; -14) (+ var17; var11;))) (+ var20; (- (- var3; var5;) (- (* 0 var18;) (- -1 var13;)))) (ite (or  false   false ) (- (- var4; var16;) (+ (* 0 var9;) (ite true var11; var20;))) (- var3; var9;))) (+ (ite (or (>= (ite false var10; var20;) (ite true var5; var10;))  false ) (- (- var4; var16;) (* 0 var18;)) (* 0 var17;)) (* 1 (+ (* 0 var9;) (- var3; var5;))))) (> var6; var20;))) 5(ite (or (and (>= (* 0 (- var13; var4;)) (ite (>= var20; var19;) (- var20; var19;) (- var14; var19;))) (<= var18; var20;)) (and (>= (* 0 (- var13; var4;)) (ite (>= var20; var19;) (- var20; var19;) (- var14; var19;))) (<= var18; var20;))) 18(ite (or (and (not (> var20; var5;)) (or (< var4; (* 1 var20;)) (not true))) (and (not (> var20; var5;)) (or (< var4; (* 1 var20;)) (not true)))) 4(ite (or (> var20; (ite (< var20; var4;) var3; (- var14; (- var13; var20;)))) (> var20; (ite (< var20; var4;) var3; (- var14; (- var13; var20;))))) 3(ite (or (> var1; var20;) (> var1; var20;)) (- 1 1)(ite (or (and (> (- var20; var19;) (- (ite false (- var20; (- var2; 0)) var6;) (ite (or true false) var19; (- var3; var14;)))) (< var20; var9;)) (and (> (- var20; var19;) (- (ite false (- var20; (- var2; 0)) var6;) (ite (or true false) var19; (- var3; var14;)))) (< var20; var9;))) 6(ite (or (< var20; var2;) (< var20; var2;)) 1(ite (or (< var19; var20;) (< var19; var20;)) 19(ite (or (> var20; var17;) (> var20; var17;)) 17(ite (or (and (<= (- var20; (- var20; var11;)) var20;) (> var14; var20;)) (and (<= (- var20; (- var20; var11;)) var20;) (> var14; var20;))) 13(ite (or (<= var16; var20;) (<= var16; var20;)) 16(ite (or (and (> var20; var14;) (< var20; var15;)) (and (> var20; var14;) (< var20; var15;))) 14(ite (or (>= var8; var20;) (>= var8; var20;)) 2(ite (or (>= var20; var13;) (>= var20; var13;)) 15 (+ 1 9)))))))))))))))))))),3275
